nombre,categoria,confianza,lat,lon,macrocategoria,fecha_extraccion,poligono,fuente,momento,release_overture
Cristus Sinergia Laboratorio Clínico,laboratory_testing,0.69,3.42703024,-76.53726092,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Colombia Viaja,travel_services,0.41,3.4270919,-76.5372307,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Kaoma cafe express,sin_categoria,0.61,3.4270943,-76.5372164,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Punto Blanco,clothing_store,0.32,3.42738166,-76.53708347,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Isamoda SAS,clothing_store,0.6,3.42750703,-76.53704583,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Furniture Innovacion Jhonny III,furniture_store,0.14,3.42757262,-76.53702908,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Fundacion Artistica y Academia de Baile Bembelequa,art_school,0.62,3.42795895,-76.5407607,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Restaurante y Cafetería de Juanes,colombian_restaurant,0.36,3.42797434,-76.54069581,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Centro de estética Stetic Siluet | tratamientos corporales y faciales | reducción y moldeo,beauty_salon,0.06,3.42777886,-76.54065324,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Indervalle,sports_and_recreation_venue,0.91,3.42787229,-76.54036149,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
